Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
11;22900;"Research Policy";journal;"00487333";3,246;Q1;224;200;455;16197;3837;445;6,91;80,99;Netherlands;Western Europe;"Elsevier";"1971-2020";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
12;27679;"Journal of Product Innovation Management";journal;"15405885, 07376782";3,128;Q1;135;39;172;3349;1043;141;6,43;85,87;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1984-2020";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
13;28312;"Organization Studies";journal;"17413044, 01708406";2,967;Q1;140;149;224;11151;1232;212;5,54;74,84;United States;Northern America;"SAGE Publications Ltd";"1980-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
14;22405;"Production and Operations Management";journal;"10591478, 19375956";2,843;Q1;102;177;389;9880;1577;376;3,83;55,82;United States;Northern America;"Wiley-Blackwell";"1992-2020";"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1)"
15;14726;"Technovation";journal;"01664972";2,795;Q1;121;41;120;3728;990;99;8,45;90,93;United Kingdom;Western Europe;"Elsevier Ltd.";"1981-2020";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1)"
16;144922;"International Journal of Physical Distribution and Logistics Management";journal;"09600035";2,749;Q1;103;61;141;4215;1135;131;6,57;69,10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990-2019";"Management of Technology and Innovation (Q1); Transportation (Q1)"
17;19696;"International Journal of Project Management";journal;"02637863";2,659;Q1;134;70;334;5958;2839;319;8,87;85,11;United Kingdom;Western Europe;"Elsevier BV";"1983-2020";"Business and International Management (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)"
18;27069;"Human Relations";journal;"00187267, 1741282X";2,519;Q1;124;133;214;10607;1264;206;5,42;79,75;United States;Northern America;"SAGE Publications Ltd";"1947-2020";"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)"
19;19680;"Industrial and Labor Relations Review";journal;"00197939, 2162271X";2,423;Q1;74;72;135;3146;436;126;3,73;43,69;United States;Northern America;"SAGE Publications Ltd";"1978, 1981-1982, 1984, 1996-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
20;4700152305;"Public Management Review";journal;"14719037";2,212;Q1;60;149;240;11087;1428;225;5,69;74,41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001-2020";"Management Information Systems (Q1); Management of Technology and Innovation (Q1); Public Administration (Q1)"
21;20039;"International Journal of Operations and Production Management";journal;"17586593, 01443577";2,187;Q1;129;66;253;5606;1794;246;6,83;84,94;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1985, 1995-2020";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
22;29745;"Information and Organization";journal;"14717727";1,832;Q1;57;17;43;1633;197;42;4,91;96,06;United Kingdom;Western Europe;"Elsevier Ltd.";"1996-1997, 2001-2020";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)"
23;14704;"Technological Forecasting and Social Change";journal;"00401625";1,815;Q1;103;443;1011;33671;6465;907;7,33;76,01;United States;Northern America;"Elsevier Inc.";"1970-2020";"Applied Psychology (Q1); Business and International Management (Q1); Management of Technology and Innovation (Q1)"
24;144668;"Journal of Knowledge Management";journal;"13673270";1,752;Q1;106;92;258;8902;1912;245;7,25;96,76;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2020";"Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
25;23013;"Industry and Innovation";journal;"13662716, 14698390";1,738;Q1;57;64;117;4690;542;107;4,78;73,28;United Kingdom;Western Europe;"Routledge";"1997-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1)"
26;22322;"Organization";journal;"13505084, 14617323";1,731;Q1;95;88;130;6817;523;126;3,90;77,47;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
27;21100934923;"IEEE Communications Standards Magazine";journal;"24712825";1,703;Q1;13;46;126;446;463;69;6,71;9,70;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2019";"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)"
